shopId,shopName,allCommentNum
592422377,橘味·星选味道,17
74779,秀玉红茶坊（光谷二期店）,26304
2464754,捞旺猪肚鸡（光谷店）,19527
164168527,许多年以后烤吧,1026
42788407,鑫小城故事（光谷店）,11173
42328037,森燊记烤鱼吧（光谷店）,12184
165193005,井圣日膳（光谷步行街店）,337
6379458,米兰西饼生日蛋糕（佳源花都商业街店）,3424
42603017,江小八章鱼小丸子（火星美食街总店）,3357
194701976,天府冷锅鱼·老成都市井川菜馆（光谷店）,35
5852222,韩宫宴炭火烤肉（鲁巷广场购物中心店）,3509
52735081,项姐烤猪蹄（澳门美食街）,4516
78675739,渝井鲤重庆老火锅（光谷旗舰店）,745
1032903,多喜西饼（光谷店）,1609
6603297,谢先生酒店（光谷店）,735
194606303,不二村成都串串（财大店）,46
4629350,华莱士（加州阳光店）,3187
1898174,尊宝比萨（光谷银座店）,5880
194286160,鹿小町•烧肉小铺（光谷步行街二店）,44
6742130,大溪烤鱼（光谷店）,35614
6456805,玛格利塔（鲁广店）,4189
165116405,桃花亭精致餐厅（光谷软件园店）,403
41343248,DQ（光谷世界城店）,363
69503127,广隆蛋挞王（光谷星光大道店）,5864
194322137,谭鸭血老火锅（光谷广场店）,56
42668820,徐老二虾鲜鱼活馆,10
748548,湖锦酒楼（光谷店）,935
188864903,雄帝和火锅（光谷店）,150
5554797,亮亮烧烤（光谷软件园店）,14859
80639182,北京片皮鸭（光谷总店）,774
95774458,桃花醉小酒馆（光谷店）,607
40537128,麻辣小屋（意大利风情街店）,14360
745967,紫燕百味鸡（鲁磨路店）,3157
193629792,3AM 西餐啤酒吧,11
156434562,锅之恋焖锅烤鱼（意大利风情街店）,2429
65354079,万岁寿司（世界城广场店）,3622
193470966,凤求凰烧烤·汉服体验店（光谷店）,54
6487500,和记鲶鱼（光谷店）,2006
52501679,C咪哒幸福的紫菜包饭（澳门街店）,1521
1599462462,好久不见音乐串吧,18
5100475,程厨子（光谷店）,1449
5792382,薄冰羊肉粉（华罗利广场店）,2016
190553760,春熙巷子成都串串,144
5583828,艳阳景轩（光谷店）,2598
4673617,汉拿山（世界城广场店）,4441
1599462462,好久不见音乐串吧,18
1898892,颐和尚景园林生态酒店（光谷店）,4396
70892923,麦格芬牛排（光谷店）,9099
157250036,成都醉川香串串火锅,2050
4838847,印度玛咖（光谷世界城店）,1547
6200595,新粤粥府（鲁巷广场购物中心店）,6468
195821886,廿十八·光谷雲顶私房會館,20
4297272,大菊铁板烧（世界城广场店）,3676
41729169,阿香米线（世界城店）,4047
195864525,梓川酒场•特色日料（光谷步行街二店）,27
5568574,李二鲜鱼村（民族店）,5390
4135500,玖钱小亮蒸虾（光谷总店）,2555
195215144,神荼料理（民族大学店）,46
742261,爱丽丝的偏爱牛排餐厅（光谷步行街店）,2711
157683102,鱼友烤全鱼（鲁巷广场店）,1630
164941829,罗氏十三活虾餐厅（武汉K11Select店）,18
6461150,廖记棒棒鸡（鲁巷广场购物中心店）,984
40426761,巴巴爸爸烤肉（二师店）,2507
92048792,湖馨园·伊亚西餐厅（地质大学店）,6
4239555,戈雅法餐厅（世界城广场店）,3390
42522908,幸福时光蛋糕（光谷广场店）,2047
184187692,慕喜客蛋糕（青年城店）,411
40457419,如意馄饨（锦绣龙城店）,294
4857735,梅花王蛋糕（关南工业园店）,44
187289521,乔叶龙老武汉烧烤（关山漾店）,28
40030028,福园饺子东北菜,431
61531886,韩滏缘自助烤肉海鲜火锅（光谷国际广场店）,20506
193398526,徐记海鲜（光谷创业街店）,0
6510966,筱雅蛋糕,45
41107649,老街烧烤（广厦华庭德国风情街店）,1648
