Comment,IsGreet
个人吃加了个羊腿不错的一家西餐厅还会光顾,1
我和男朋友是秀玉的老顾客了第一次认识就是在秀玉吃的饭他们家的环境优雅菜品味道也挺不错今天和男朋友再次来到秀玉服务员王小凤接待的我们服务态度非常好值得推荐小吃鸡翅经典西冷甜点金桔柠檬茶红烧牛蛙煲仔,1
每次来秀玉觉得心情很好因为环境不错东西又很好吃因为没有拍照的习惯只能拿朋友做的东西来凑了貌似我太懒了最喜欢和朋友来一起吃个饭聊天很惬意很放松下次来试试下午茶应该也会不错的,1
和室友一起来的这里位置很好找整个装饰也很有格调适合人们休息点了香辣咖喱鸡焗饭冰淇淋水果圣代奶油培根意面牛肉汉堡水果沙拉焗饭味道不错芝士咖喱份量足水果圣代选的是树莓和香草味的冰淇淋这两个味道都很好吃整体上来说这次吃的很开心,1
还不错吧环境优雅菜品种类多味道还可以,1
不好吃都浪费了真不知道秀玉现在怎么这么差了,0
味道还不错环境比较好就餐很安静,1
环境特别好牛排也特别美味金桔茶特别推荐哦就餐特别推荐,1
还可以人不多上菜快服务好,1
带着弟弟们来吃的位置有点难得找人很多味道不错看来地方不同秀玉的味道差别也大,1
邓平小姐姐服务态度很好因为是第一次来这里耐心给我们推荐菜品回答我们的问题这里二楼比较安静喜欢高高的房顶强烈推荐这家第一次来没有失望吃的特别饱下次还回来,1
味道好吃可以可以男朋友吃的很满意,1
环境还不错主要是吃这个衣服上不会有味道饮料也很好喝不是那种用粉冲出来的服务员态度也都很好给我们服务的王小凤应该没打错名字服务很周到点赞,1
味道不错套餐实惠小孩很喜欢吃,1
味道好很喜欢吃推荐,1
炒饭和牛肉饼还不错,1
晚上去的牛排全熟盘子都是温的沙拉也不好吃感觉都是放久了的点了个面包汤真难喝差评,0
邓平小姐姐的服务很好小姐姐很有活力哈哈祝该店生意红火服务超赞,1
服务员汪思佳态度不错店里环境好冷气足,1
味道很好敖之放,1
很好余梦月,1
服务员余梦月服务态度非常好五星好评,1
牛排要七分给做全熟味道差服务员服务不周到,0
邓平服务很好,1
套餐里的牛柳一点都不好吃面是硬的,0
味道不错经常来吃也会介绍朋友过来的,1
口味环境服务等位,1
印尼炒饭有一点点小辣但是越吃越来劲奶油意面特别好吃我很爱吃这些腻腻的食物奶油味道很浓吃完了想把剩下的奶油都刮干净还点了一份牛肉春卷吧忘记叫什么名字了外面很脆里面的肉被煮的特别香很多地方都有这个门店特别推荐印尼炒饭脆炸牛肉条奶油意面,1
菜品一菜服务差地很二年前去吃味道好服务地很好现在完全不行了在也不会去了,0
美团购买优惠不错口味一如既往的可以上菜稍微慢了一点,1
各方面都不错,1
强烈推荐环境优美适合闲聊,1
人性化体贴,1
很好,1
每次最爱和朋友一起来的秀玉吃完饭聊天很舒服,1
菜品的分量少了点环境还可以的,1
菜品味道都很不错尤其是香蕉松饼特别美味香蕉上的一层焦糖皮子很好吃酥脆可口松饼也很香甜软糯上菜速度也快十多分钟点的五个菜品就都上齐了店员的服务态度也非常友好环境那就更没得说一直很喜欢秀玉的装饰风格特别温馨的感觉,1
环境不错个别服务人员服务态度不耐烦望改进,1
味道不错就是价格有点贵打折时还是比较划算的,1
服务态度很好菜品上的很快非常满意,1
味道很棒服务员王小凤服务非常棒,1
味道一般可能是我去的有点多了,0
菜品味道不错环境还行但是服务员的态度有待改进煲仔饭需要一个小时以上但是点单的时候没有人提醒后来催的时候另外一个服务员很冲说是已经说过了你自己选择的结果等了一个小时煲仔饭还不怎么好吃,1
王晓凤服务态度很好菜品味道不错,1
环境还不错菜真是不好吃点的菜都没吃完都浪费再也不去了,0
在美团上订的的套餐一大桌两个人吃不完那么多牛排配的烤土豆炒鸡好吃牛肉卷也好吃味道很赞服务员服务非常好,1
和好朋友一起很开心味道不错环境幽静适合小聚,1
还不错一直都是常客很喜欢里面的牛排很嫩口感不错,1
吐槽一下服务生这杯套餐饮料只可以选冰金桔或西瓜汁我们都不喝冰不能换别的饮料情有可原但是冰金桔不能去冰块是为什么呢服务员硬说不能去冰块那好我们自己捞捞出了三杯子冰块再加点热水才能喝去冰的小事都不能满足顾客要求匪夷所思,1
环境优美服务好价格合适特别是餐品吃的人心里舒服饿着肚子来饱着肚子走上餐也很快,1
味道可以环境不错,1
之前的体验都很愉快都给了好评今天不太好不想给好评了,0
服务员都很热情周到就是牛排太难吃了多的牛排又柴又酸失望失望,0
小炒回锅牛肉煲仔湘腊肥肠跟饭湘味小炒牛腩牛腩煲仔饭,1
王小凤阿姨说话温和服务热情衣着整洁时不时的会帮忙看下餐品有没上齐阿姨人蛮好的下次还过来吃饭,1
感觉不怎样评分还这么高是有假吗,0
跟同学一起去吃的感觉的还不错不仅可以吃到中餐还可以吃到西餐味道超赞,1
点多进店可能因为周六吧人多服务员忙不过来菜品上的慢牛排上来都有点冷了体验不是很好,0
口味不错服务不错位置好找,1
不错挺好的常去的一家店子,1
很久没有去秀玉了感觉生意没有原来好了可能是竞争太激烈了吧食客口味在变商家也要跟着改变,1
不错,1
还可以吧环境相对来说是很舒适的,1
环境优雅味道还行啊上菜速度已可以,1
真心难吃一点都不正宗分熟的牛排给我烤的里面还有血无语,0
我们坐在角落来了半天都没人理我们,0
服务很好环境也不错饭菜也很可口泰式咖喱牛肉卷东京式咖喱猪排饭柠檬水碳烤澳洲牛小排,1
两个人吃的份量还挺足的牛排味道不错的其余的就一般般了,0
王小凤服务热情逛街累了看到她的笑容感觉很舒服,1
经常光顾男票喜欢吃他家的煲仔饭,1
王小凤餐员服务员非常好满分分餐品也很棒味道好份量足给您满分好评,1
王小凤服务员很不错餐品很棒经常来的店,1
环境很不错装修内饰很舒服适合工作日晚上家庭活动,1
口味还行环境优美服务到位等位上菜快,1
态度不好说餐桌上的漏斗计时送小吃没用了没用摆在那儿干啥服务员愣死,0
还可以的环境好味道好消费平价,1
服务不错菜价亲民环境优雅不错的西餐厅,1
小炒肉煲仔饭还不错为什么一定要字以上呢,1
还可以吧就是沙拉太差了就只有生菜牛肉条也没就一个春卷一样的东西很难吃估计以后不会去秀玉了,0
味道还可以服务口味没毛病环境还可以,1
服务热情份量足环境优雅菜品不错,1
还行不错味道还行可以的,1
点的三样菜品全部踩雷番茄牛腩跟饭上来是凉的而且酱汁很难吃,0
主要是环境好习惯了在秀玉里吃饭,1
环境不错左右的牛排做的不怎么样,1
汉堡划算又好吃环境特别高大上新会员还有送小食,1
口味不错服务很好,1
味道一般环境好服务员态度好,0
环境很好曹燕的服务态度很好以后会经常光顾,1
头一次在光谷秀玉红茶坊吃饭环境非常简约大气很有宜家的风格里面有一个服务员王小凤姐姐人非常友好服务很贴心在这里给五星好评菜品价格性价比非常高尤其是披萨简直良心价了金桔柠檬茶既美观又好喝强烈推荐总之是很的一次用餐个赞,1
菜品都很好吃蜂蜜厚多士堪称经典性价比高难得的好店,1
每次到光谷来都是在他们家吃饭菜品份量充足上菜比较快服务员随叫即到推荐服务员席梓强很热情,1
经常在秀玉家吃饭味道都还不错每次必点牛排但这家确实份量少勉强给个好评吧,1
突然有两三个月没吃你们家东西昨天带同事去吃了一下巨难吃点了三份秀玉精选牛排那个服务员下单的时候连鸡蛋是单面煎还是双面煎都给我们下错了拿上来的时候鸡蛋都是冷的最后说一下服务员都没问我们配什么酱就直接全部给我们上了黑椒酱服务一般菜也是越做越难吃了不想说什么希望店家改进吧,0
味道一如既往好李冬洋服务很好满意,1
菜品挺不错的环境很舒服服务员也比较热情强烈推荐,1
蛮好吃就是老是忘了刀叉味道不错爱吃芝士饭,1
服务态度有待提高菜品一般没有什么吸引的,0
味道不错服务员也特别热情有一位姓马的服务员特别好用餐很愉快,1
钟志服务非常好下次还会再来,1
沙拉不错哦,1
菜品不错王小凤服务的很好,1
煲仔饭有点多牛柳排还不错肉眼牛排一般,1
黄维君耐心热情,1
服务员很热情菜的味道也蛮好下次有机会会再来的,1
曹燕的服务挺好的环境也挺喜欢,1
黄维君小姐姐服务很好态度很亲和,1
好评去了很多次,1
还不错吧人挺多的和闺蜜一起去的,1
上菜速度特快环境挺好的就是服务员业务水平有待提升,0
服务环境口味詹红服务周到很赞时令水果色拉蒜香鸡中节,1
服务员黄维君的服务态度很好很幽默这家店不错以后会常来的,1
黄伟君态度友好服务周到,1
服务周到牛排味道不错感谢服务员徐龙的热情周到服务,1
黄维君服务态度好,1
服务热情环境温暖小孩喜欢,1
服务员不熟练味道还可以环境一般般,0
王小凤女士服务非常好很满意,1
饭很好吃茶也很好喝上菜很快,1
钟志服务态度很下次再来,1
陈黎,1
钟志服务很好下次再来,1
吴梦蝶棒棒哒,1
口味环境环境好,1
味道很满意,1
秀玉已经去了好多次了味道还不错,1
王小凤服务态度很好分量足好吃,1
服务还不错东西不怎么好吃披萨真的好难吃牛柳刚吃还可以越吃越腻,0
感觉份量比较少而且要美团付款的时候服务员是个女的那表情像吃了苍蝇一样恶心你们店铺自己做活动折付款又不是求着你们有必要说不清楚能不能用然后语气态度都不好做不起活动就别搞来吃饭又不是来看你脸色的还挺年轻的服务员怎么表情像要死了一样呢,0
水果沙拉还可以的雪球面包也可以服务态度一般般啦习惯性五星,1
服务员王小凤态度可以很热情菜品的话还行比较合胃口,1
菜式很新颖看着就有胃口环境也好五分好评,1
味道一般吧番茄牛肉饭饭量很少,0
王小凤服务很好牛排味道不错,1
不错,1
儿子喜欢吃他家牛排只能妥协希望牛肉更新鲜一些,1
服务态度不好明明点的牛柳意面换成米饭重点是换成米饭你给我加一个米饭几个意思呢你是需要我说三遍请你告诉我啊不带这样自作主张的吧以后去你秀玉吃饭是不是该你决定我吃啥不核对菜单就买单差评,0
牛排味道还可以环境优雅服务好,1
味道不错真好吃环境和服务超级赞,1
还不错好吃也不怎么辣下次还来,1
环境很好,1
每次跟儿子二个人来吃都要点差不多的东西儿子喜欢吃这里的牛排,1
坑死了没有牛排是汉堡肉沫,1
没有以前做的好了很多都做假了,0
不错味道好服务好分量足,1
就那样呗反正经常去买单的时候折时候服务员像是不愿意让人用样的,1
三个人吃两份牛排都吃完了鸡排还没有上单子上的时间和上菜的时间隔了分钟加上之前等的时候也有半个小时多了主要又不是节日还是五点多去的,0
一直在他们家吃吃了几年了,1
